0	Acrobatic	0	-1	-1	0	0	0	0	0	0	8	8	8	8	8	8	0	0	
1	Agile	2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	Alertness	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	Animal Affinity	2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	Armor Proficiency (light)	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	Armor Proficiency (medium)	0	1004	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
6	Armor Proficiency (heavy)	0	1004	1	1005	1	-1	-1	0	0	0	0	0	0	0	0	0	0	
7	Athletic	2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	Augment Summoning	0	1326	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
9	Blind-fight	16	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	Brew Potion	131072	-2	3	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
11	Cleave	16	0	13	1268	1	-1	-1	0	0	0	0	0	0	0	0	0	0	
12	Combat Casting	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	Combat Expertise	16	3	13	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
14	Craft Magic Arms and Armor	131072	-2	5	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
15	Craft Rod	131072	-2	9	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
16	Craft Staff	131072	-2	12	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
17	Craft Wand	131072	-2	5	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
18	Craft Wondrous Item	131072	-2	3	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
19	Deceitful	2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20	Deft Hands	2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	Diehard	0	1054	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
22	Diligent	2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23	Deflect Arrows	80	1	13	1220	1	-1	-1	0	0	0	0	0	0	0	0	0	0	
24	Dodge	16	1	13	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
25	Empower Spell	131072	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26	Endurance	2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27	Enlarge Spell	131072	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28	Eschew Materials	2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29	Exotic Weapon Proficiency (Butterfly Sword)	784	266	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
30	Exotic Weapon Proficiency (Kukri)	2304	266	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
31	Exotic Weapon Proficiency (War Fan)	784	266	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
32	Exotic Weapon Proficiency (Monk Spade)	784	266	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
33	Exotic Weapon Proficiency (Kama)	784	266	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
34	Exotic Weapon Proficiency (Tonfa)	784	266	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
35	Exotic Weapon Proficiency (Siangham)	784	266	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
36	Exotic Weapon Proficiency (Bastard Sword)	784	266	1	0	13	-1	-1	0	0	0	0	0	0	0	0	0	0	
37	Exotic Weapon Proficiency (Dwarven Waraxe)	784	266	1	0	13	-1	-1	0	0	0	0	0	0	0	0	0	0	
38	Exotic Weapon Proficiency (Gnome Hooked Hammer)	784	266	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
39	Exotic Weapon Proficiency (Orc Double Axe)	784	266	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
40	Exotic Weapon Proficiency (Spike Chain)	784	266	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
41	Exotic Weapon Proficiency (Dire Flail)	786	266	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
42	Exotic Weapon Proficiency (Two-bladed Sword)	786	266	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
43	Exotic Weapon Proficiency (Dwarven Urgrosh)	786	266	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
44	Exotic Weapon Proficiency (Hand Crossbow)	786	266	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
45	Exotic Weapon Proficiency (Shuriken)	784	266	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
46	Exotic Weapon Proficiency (Whip)	786	266	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
47	Exotic Weapon Proficiency (Repeating Crossbow)	784	266	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
48	Exotic Weapon Proficiency (Net)	786	266	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
49	Extend Spell	131072	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
50	Extra Turning	1	-3	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
51	Far Shot	16	1267	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
52	Forge Ring	131072	-2	12	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
53	Great Cleave	16	0	13	1268	1	1011	1	266	4	-1	-1	0	0	0	0	0	0	
54	Great Fortitude	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55	Greater Spell Focus (Abjuration)	0	1325	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
56	Greater Spell Focus (Conjuration)	0	1326	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
57	Greater Spell Focus (Divination)	0	1327	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
58	Greater Spell Focus (Enchantment)	0	1328	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
59	Greater Spell Focus (Evocation)	0	1329	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
60	Greater Spell Focus (Illusion)	0	1330	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
61	Greater Spell Focus (Necromancy)	0	1331	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
62	Greater Spell Focus (Transmutation)	0	1332	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	
