0	DO NOT USE	0	0	0
1	Hommlet - map1-int01-ext-prosperous-farm	5001	717	486
2	Hommlet - map1-int02-ext-modest-farmhouse	5001	763	433
3	Hommlet - map1-int03-ext-woodcutter	5001	733	381
4	Hommlet - map1-int04-ext-well-kept-farm	5001	676	507
5	Hommlet - map1-int05-ext-prosperous-farmhouse	5001	658	448
6	Hommlet - map1-int06-ext-leatherworker	5001	634	450
7	Hommlet - map1-int07-ext-inn	5001	627	401
8	Hommlet - map1-int08-ext-blacksmith	5001	562	444
9	Hommlet - map1-int09-ext-new-building	5001	575	409
10	Hommlet - map1-int10-ext-weaver	5001	548	409
11	Hommlet - map1-int11-ext-tailor	5001	539	380
12	Hommlet - map1-int12-ext-strapping-farmer	5001	524	393
13	Hommlet - map1-int13-ext-trading-post	5001	516	329
14	Hommlet - map1-int14-ext-teamster	5001	448	321
15	Hommlet - map1-int15-ext-moneychanger	5001	548	332
16	Hommlet - map1-int16-ext-cabinet-maker	5001	562	293
17	Hommlet - map1-int17-ext-potter	5001	588	298
18	Hommlet - map1-int18-ext-brewhouse	5001	642	327
19	Hommlet - map1-int19-ext-modest-cottage	5001	548	242
20	Hommlet - map1-int20-ext-church	5001	495	231
21	Hommlet - map1-int21-ext-cheesemaker	5001	445	368
22	Hommlet - map1-int22-ext-mill	5001	448	410
23	Hommlet - map1-int23-ext-reclusive-farmer	5001	397	413
24	Hommlet - map1-int24-ext-grove	5001	621	520
25	Hommlet - map1-int25-ext-herdsman	5001	592	473
26	Hommlet - map1-int26-ext-wainwright	5001	558	484
27	Hommlet - map1-int27-ext-village-elder	5001	496	463
28	Hommlet - map1-int28-ext-carpenter	5001	523	508
29	Hommlet - map1-int29-ext-stone-mason	5001	452	517
30	Hommlet - map1-int31-ext-tower	5001	449	607
31	Hommlet - map1-int03-int-woodcutter	5022	483	483
32	Hommlet - map1-int04-int-well-kept-farm	5023	471	486
33	Hommlet - map1-int04-stairbase1-well-kept-farm	5023	471	477
34	Hommlet - map1-int04-stairtop2-well-kept-farm	5024	471	471
35	Hommlet - map1-int05-int-prosperous-farmhouse	5025	487	489
36	Hommlet - map1-int06-int-leatherworker	5026	492	485
37	Hommlet - map1-int02-int-modest-farmhouse	5063	475	472
38	Hommlet - map-3-int-InnFirst	5007	485	486
39	Hommlet - Map-3-left-stairbase1	5007	496	480
40	Hommlet - Map-3-right-stairbase1	5007	468	480
