Default	clear target			target closest			sniper			use potion			attack			approach			attack			
Only Use Potion (1)	use potion																					
Only Use Potion w/ 5 Foot Step (2)	five foot step			use potion																		
Only Ready vs. Spell - ranged (3)	five foot step			reload			ready vs spell															
Only Ready vs. Approach - ranged (4)	five foot step			reload			ready vs approach															
Only Ready vs. Spell (5)	ready vs spell																					
Only Ready vs. Approach (6)	ready vs approach																					
Only Coup De Grace - (7)	target threatened			attack																		
Ranged - Sniper (8)	five foot step			use potion			reload			sniper			partial charge									
Ranged - Ready vs. Spell (9)	five foot step			use potion			reload			ready vs spell												
Ranged - Sniper 1 (10)	five foot step			use potion			reload			target closest			target ranged			target bad reflex			target damaged			attack
Ranged - Sniper 2 (11)	five foot step			use potion			reload			target closest			target nospell			target bad will			target low ac			attack
Ranged - Sniper 3 (12)	five foot step			use potion			reload			target closest			target high ac			target nearby buffed			target prone			attack
Pet Command: Hold Ground (13)	target threatened			attack threatened			ready vs approach															
Melee - Flanker - close (14)	target threatened			flank			attack threatened			target closest			flank			attack						
Melee - Flanker - medium (15)	target threatened			attack threatened			target closest			flank			target damaged			flank			target low ac			
Melee - Flanker - close w/move (16)	target threatened			flank			attack threatened			target closest			flank			attack			target threatened			flank			target damaged			flank
Coup De Grace - w/ power attack (17)	power attack			target threatened			attack																					
Melee - Reach Weapon Default (18)	target threatened			attack threatened			target ranged			target closest			approach			attack			five foot step									
Melee - Reach Weapon Close (19)	target threatened			attack threatened			five foot step			use potion																		
Melee - power attack (20)	power attack			target threatened			attack threatened																					
Melee - attack helpless (21)	target threatened			attack threatened			target closest			attack																		
Melee - charge attack (22)	target closest			attack threatened			use potion			charge																		
Melee - attack prone (23)	target threatened			attack threatened			target closest			target prone			attack															
Melee - attack helpless w/ power attack (24)	power attack			target threatened			attack threatened			target closest			attack															
Melee - charge attack w/ power attack (25)	power attack			target closest			attack threatened			use potion			charge															
Melee - attack prone w/ power attack (26)	target threatened			power attack			attack threatened			target closest			target prone			attack												
Tripper - close (27)	target threatened			trip			attack threatened																					
Tripper - medium (28)	target threatened			trip			attack threatened			target closest			target high ac			trip												
Tripper - medium (29)	target threatened			trip			attack threatened			target closest			trip															
Tripper - medium (30)	target threatened			trip			attack threatened			target closest			target low ac			trip												
Giant #1 - melee w/ charge  (31)	target closest			attack threatened			use potion			target ranged			target closest			charge			attack			target closest			approach			
Giant #1 - melee w/ power attack (32)	target closest			power attack			attack threatened			use potion			target ranged			target closest			attack			target closest			approach						
Giant #1 - ranged (33)																															
Evasive maneuver (34)	five foot step			ready vs approach																											
Combat Expertise (35)	expertise			target threatened			attack threatened																								
Melee - ready vs. spell (36)	ready vs spell			target threatened			target closest			attack																					
Evasive maneuver 2 (37)	target threatened			attack threatened			five foot step																								
Combat Expertise 2 (38)	expertise			target threatened			attack threatened			five foot step																					
Only Fireball - auto target (39)	five foot step			target self			target closest			cast fireball		'Fireball' class_wizard 3																			
Only Silence - script targeted (40)	five foot step			target self			cast single		'Silence' class_cleric 2																						
Rage - flanker - close (41)	rage			target threatened			flank			attack threatened			target closest			flank			attack												
Rage - flanker - close w/move (42)	rage			target threatened			flank			attack threatened			target closest			flank			attack			target threatened			flank			target damaged			flank
Rage - reach weapon close (43)	rage			target threatened			attack threatened			five foot step			use potion																		
Rage - tripper close (44)	rage			target threatened			trip			attack threatened																					
Rage - charge w/power attack (45)	power attack			target closest			attack threatened			use potion			rage			charge															
Rage - charge attack (46)	rage			target closest			attack threatened			use potion			rage			charge			rage			
Rage - power attack (47)	rage			power attack			target threatened			attack threatened																					
Low IQ animal script (48)	target threatened			attack threatened			target closest			charge																																																																																																																			
Low IQ animal script 2 (49)	target closest			charge			attack			attack			attack																																																																																																				
Pet Command: Charge vs Spell (50)	ready vs spell			charge			attack																																																																																																																						
Pet Command: Target Rear (51)	target ranged			charge			attack			approach			target closest			attack																																																																																																													
Shaman 1	five foot step			use potion			target nospell			cast single		'Ray of Clumsiness' class_wizard 1	clear target			target closest			cast single		'Ray of Enfeeblement' class_wizard 1	clear target			target bad will			cast single		'Daze' class_wizard 0	clear target			target high ac			cast single		'Daze' class_wizard 0	clear target			target bad will			cast single		'Daze' class_wizard 0	clear target			target closest			cast single		'Daze' class_wizard 0	clear target			target closest			attack																																																													
Lizard 1	target threatened			attack threatened			charge			target closest			attack			attack			attack																																																																																																				
Shaman 2 (unused so far)	five foot step			use potion			target self			cast single		'True Strike' class_wizard 1	clear target			target high ac			cast single		'Ray of Clumsiness' class_wizard 1	clear target			target high ac			cast single		'Ray of Enfeeblement' class_wizard 1	clear target			target high ac			cast single		'Daze' class_wizard 0	clear target			target bad will			cast single		'Daze' class_wizard 0	clear target			target closest			cast single		'Daze' class_wizard 0	clear target			target closest			attack																																																													
Shaman 3	five foot step			use potion			target high ac			cast single		'Ray of Enfeeblement' class_wizard 1	clear target			target ranged			cast fireball		'Sleep' class_wizard 1	clear target			target bad will			cast single		'Daze' class_wizard 0	clear target			target high ac			cast single		'Daze' class_wizard 0	clear target			target bad will			cast single		'Daze' class_wizard 0	clear target			target closest			cast single		'Daze' class_wizard 0	clear target			target closest			attack																																																													
bard	five foot step			use potion			target ranged			cast fireball		'Sleep' class_wizard 1	cast fireball		'Grease' class_bard 1	clear target			target closest			attack																																																																																																							
Necromancer	five foot step			use potion			target closest			cast single		'Cause Fear' class_wizard 1	clear target			target closest			cast single		'Cause Fear' class_wizard 1	clear target			target self			cast single		'True Strike' class_wizard 1	clear target			target closest			cast single		'Ray of Enfeeblement' class_wizard 1	clear target			target closest			cast single		'Daze' class_wizard 0	clear target			target closest			cast single		'Daze' class_wizard 0	clear target			target closest			cast single		'Daze' class_wizard 0	attack			attack			attack																																																				
Summoner	five foot step			use potion			clear target			target ranged			cast single		'Summon Monster II' class_sorcerer 2	clear target			target high ac			cast single		'Summon Monster I' class_sorcerer 1	clear target			target closest			cast single		'Daze' class_sorcerer 0																																																																																												
Diadochos	five foot step			use potion			clear target			target ranged			cast fireball		'Sleep' class_wizard 1	clear target			target closest			cast single		'Color Spray' class_wizard 1	clear target			target high ac			cast fireball		'Grease' class_wizard 1	cast single		'Magic Missile' class_wizard 2	cast single		'Daze' class_wizard 0	clear target			target ranged			cast single		'Daze' class_wizard 0	attack																																																																												
Mad Wizard (test)	five foot step			use potion			clear target			target closest			cast fireball		'Dispel Magic' class_wizard 3	cast fireball		'Ice Storm' class_wizard 4	cast fireball		'Fireball' class_wizard 3	clear target			target closest			cast single		'Melfs Acid Arrow' class_wizard 2	clear target			target high ac			cast single		'Tashas Hideous Laughter' class_wizard 2	clear target			target ranged			cast fireball		'Web' class_wizard 2	cast single		'Scorching Ray' class_wizard 2	clear target			target bad will			cast single		'Daze' class_wizard 0	clear target			target high ac			cast single		'Magic Missile' class_wizard 1	cast single		'Magic Missile' class_wizard 1	clear target			target threatened			cast fireball		'Burning Hands' class_wizard 1	cast fireball		'Burning Hands' class_wizard 1	attack									Gorgon (target dying)	target closest			cast area		'Petrifying Breath (INTERNAL)' domain_special 0	target threatened			attack threatened			target ranged			target closest			charge			attack			use potion			target closest			approach
Heal Friend  Critical To Light Wounds Only (61)	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	target ranged			target closest			target prone			use potion			attack threatened																																																																																														
Heal Friend  Critical Wounds Only (62)	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	target ranged			target closest			target prone			use potion			attack threatened																																																																																																							
Heal Friend  Serious Wounds Only (63)	clear target			target friend hurt			cast single		'Cure Serious Wounds' class_cleric 3	target ranged			target closest			target prone			use potion			attack threatened																																																																																																							
Heal Friend  Moderate Wounds Only (64)	clear target			target friend hurt			cast single		'Cure Moderate Wounds' class_cleric 2	target ranged			target closest			target prone			use potion			attack threatened																											
Heal Friend Light Wounds Only (65)	clear target			target friend hurt			cast single		'Cure Light Wounds' class_cleric 2	target ranged			target closest			target prone			use potion			attack threatened																											
Heal Self  Critical To Light Wounds Only (66)	clear target			target self			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	target ranged			target closest			target prone			use potion			attack threatened																		
Heal Self  Critical Wounds Only (67)	clear target			target self			cast single		'Cure Critical Wounds' class_cleric 4	target ranged			target closest			target prone			use potion			attack threatened																											
Heal Self  Serious Wounds Only (68)	clear target			target self			cast single		'Cure Serious Wounds' class_cleric 3	target ranged			target closest			target prone			use potion			attack threatened																											
Heal Self  Moderate Wounds Only (69)	clear target			target self			cast single		'Cure Moderate Wounds' class_cleric 2	target ranged			target closest			target prone			use potion			attack threatened																											
Heal Self Light Wounds Only (70)	clear target			target self			cast single		'Cure Light Wounds' class_cleric 2	target ranged			target closest			target prone			use potion			attack threatened																											
Belsornig New AI (71)	clear target			use potion			target threatened			cast single		'Hold Person' class_cleric 2	attack threatened			target high ac			cast area		'Unholy Blight' domain_evil 4	cast area		'Dispel Magic' class_cleric 3	cast area		'Sound Burst' class_cleric 2	target self			cast single		'Divine Power' class_cleric 4	clear target			attack			approach
Merrolan New AI (72)	clear target			target threatened			cast single		'Hold Person' class_cleric 2	coup de grace			clear target			target self			cast area		'Bless' class_cleric 1	clear target			target friend hurt			cast single		'Cure Light Wounds' class_cleric 1	clear target			target closest			use potion			attack									
Nalorrem New AI (73)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Belsornig Alt AI (74)	clear target			use potion			target threatened			cast single		'Hold Person' class_cleric 2	attack threatened			clear target			target high ac			cast area		'Dispel Magic' class_cleric 3	cast area		'Sound Burst' class_cleric 2	clear target			target self			cast single		'Divine Power' class_cleric 4	clear target			target closest			attack			approach
Alrrem AI 1 (75)	use potion			target threatened			cast single		'Bestow Curse' class_cleric 3	attack threatened			clear target			target ranged			target closest			target high ac			cast area		'Flame Strike' class_cleric 5	clear target			target ranged			target low ac			cast single		'Summon Monster IV' class_cleric 4	clear target			target self			cast single		'Righteous Might' class_cleric 5	clear target			target closest			attack			approach
Antonio New AI (76)	clear target			target ranged			target bad fort			cast single		'Spiritual Weapon' class_cleric 2	clear target			target self			cast area		'Bane' class_cleric 1	clear target			target friend nospell			cast single		'Bears Endurance' class_cleric 2	clear target			target ranged			target bad fort			cast single		'Spiritual Weapon' class_cleric 2	clear target			target self			cast area		'Bless' class_cleric 1	clear target			target friend hurt			cast single		'Cure Moderate Wounds' class_cleric 2	clear target			target bad fort			approach			target threatened			attack threatened			attack			use potion
Tubal New AI (77)	clear target			target ranged			target bad fort			cast single		'Spiritual Weapon' class_cleric 2	clear target			target self			cast area		'Bless' class_cleric 1	clear target			target friend hurt			cast single		'Cure Moderate Wounds' class_cleric 2	clear target			target bad fort			approach			target threatened			attack threatened			attack			use potion
Placeholder (78)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (79)	clear target			approach			
Lareth seek beacon (80)	clear target			target friend low ac			approach			target closest			cast fireball		'Sound Burst' class_cleric 2	
Lareth join fray (81)	target self			cast single		'Shield of Faith' class_cleric 1	clear target			target closest			approach			
Lareth joined fray (82)	clear target			target friend hurt			cast single		'Cure Serious Wounds' class_cleric 3	target threatened			coup de grace			target bad fort			cast fireball		'Sound Burst' class_cleric 2	target bad will			cast single		'Hold Person' class_cleric 2	cast single		'Searing Light' class_cleric 3	cast single		'Inflict Moderate Wounds' class_cleric 2	cast single		'Command' class_cleric 1	use potion		
Lareth joined fray - skip hold person (83)	clear target			target friend hurt			cast single		'Cure Serious Wounds' class_cleric 3	target threatened			coup de grace			target bad fort			cast fireball		'Sound Burst' class_cleric 2	target bad will			cast single		'Searing Light' class_cleric 3	cast single		'Inflict Moderate Wounds' class_cleric 2	cast single		'Command' class_cleric 1	use potion		
Guardsman seeking sleeping friend (84)	clear target			target friend low ac			approach			go ranged												
Lareth Obscuring mist with 5 foot step (85)	target closest			five foot step			use potion			clear target			target self			cast area		'Obscuring Mist' domain_special 1	clear target			target friend hurt			cast single		'Cure Serious Wounds' class_cleric 3	target threatened			coup de grace			target bad fort			cast fireball		'Sound Burst' class_cleric 2	target bad will			cast single		'Hold Person' class_cleric 2	cast single		'Searing Light' class_cleric 3	cast single		'Inflict Moderate Wounds' class_cleric 2	cast single		'Command' class_cleric 1	use potion		
Lareth Obscuring mist (86)	use potion			clear target			target self			cast area		'Obscuring Mist' domain_special 1	clear target			target friend hurt			cast single		'Cure Serious Wounds' class_cleric 3	target threatened			coup de grace			target bad fort			cast fireball		'Sound Burst' class_cleric 2	target bad will			cast single		'Hold Person' class_cleric 2	cast single		'Searing Light' class_cleric 3	cast single		'Inflict Moderate Wounds' class_cleric 2	cast single		'Command' class_cleric 1	use potion		
Lareth Dispel magic (87)	clear target			target self			cast area		'Dispel Magic' domain_magic 3	target friend hurt			cast single		'Cure Serious Wounds' class_cleric 3	target threatened			coup de grace			target bad fort			cast fireball		'Sound Burst' class_cleric 2	target bad will			cast single		'Hold Person' class_cleric 2	cast single		'Searing Light' class_cleric 3	cast single		'Inflict Moderate Wounds' class_cleric 2	cast single		'Command' class_cleric 1	use potion		
Archer stay put (88)	go ranged			
Lareth corridor contingency (89)	clear target			target friend hurt			cast single		'Cure Serious Wounds' class_cleric 3	target threatened			coup de grace			target bad fort			cast fireball		'Sound Burst' class_cleric 2	target bad will			cast single		'Searing Light' class_cleric 3	cast single		'Command' class_cleric 1	target closest			cast single		'Hold Person' class_cleric 2	use potion		
Harpy Song Strategy (90)	target closest			cast party		'Harpy Song (INTERNAL)' domain_special 5	target closest			target bad will			cast single		'Confusion' domain_special 4	cast area		'Unholy Blight Quickened (INTERNAL)' domain_special 4	target closest			attack
Nightwalker (91)	target closest			cast area		'Fear Gaze (INTERNAL)' domain_special 4	target closest			cast single		'Finger of Death' domain_special 7	target closest			target bad will			cast single		'Confusion' domain_special 4	cast area		'Unholy Blight Quickened (INTERNAL)' domain_special 4	target closest			attack
Harpy Song Strategy (92)	target closest			cast area		'Harpy Song (INTERNAL)' domain_special 5	target closest			use potion			coup de grace			attack			approach			
Target High AC - Default (93)	clear target			target damaged			sniper			use potion			attack			approach			attack			
Target High AC - Flanker (no ranged) (94)	use potion			target damaged			flank			use potion			attack			flank			coup de grace			target closest															
Target damaged - Barbarian (tumbler no ranged) (95)	rage			use potion			target damaged			power attack			attack			flank			use potion			approach			
Target damaged - Berzerker (tumbler no ranged) (96)	rage			use potion			power attack			target damaged			target prone			use potion			attack threatened			attack			approach															
Target damaged - Sniper (97)	clear target			target damaged			sniper			partial charge			use potion			attack			
Target damaged - Lareth joined fray (98)	clear target			target friend hurt			cast single		'Cure Serious Wounds' class_cleric 3	target threatened			coup de grace			target bad fort			cast fireball		'Sound Burst' class_cleric 2	target damaged			cast single		'Hold Person' class_cleric 2	cast single		'Searing Light' class_cleric 3	cast single		'Inflict Moderate Wounds' class_cleric 2	cast single		'Command' class_cleric 1	use potion			target damaged			attack			
Placeholder (99)	clear target			target closest			coup de grace			attack												
Placeholder (100)	clear target			target friend nospell			approach												
Placeholder (101)	clear target			target closest			cast single		'Highlight Target' class_cleric 0	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (102)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (103)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (104)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (105)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (106)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (107)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (108)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (109)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Iuz Teleport (110)	clear target			target self			cast single		'Dimension Door' domain_special 4	target closest			attack			approach			
Placeholder (111)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (112)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (113)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (114)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Target damaged - Balor (115)	target closest			target low ac			cast single		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	target closest			cast party		'Fear' domain_special 4	target high ac			target nospell			target bad will			cast single		'Suggestion' domain_special 5	target damaged			cast single		'Slay Living' domain_special 5	target damaged			attack threatened			target nearby buffed			cast single		'Dispel Magic' domain_special 5	target ranged			target damaged			use potion			attack			
Target damaged - Vrock (116)	target self			cast single		'Mirror Image' domain_special 2	clear target			target closest			cast single		'Vrock Screech (INTERNAL)' domain_special 0	target closest			target low ac			cast single		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	target self			cast single		'Heroism' domain_special 1	clear target			target threatened			cast area		'Vrock Spores (INTERNAL)' domain_special 0	target damaged			power attack			attack threatened			target damaged			attack			use potion			approach
Target damaged - Hezrou (117)	target self			cast single		'Hezrou Stench' domain_special 5	clear target			target closest			target low ac			cast single		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	clear target			target closest			target low ac			cast single		'Chaos Hammer' domain_special 5	target damaged			cast single		'Unholy Blight' domain_special 4	target damaged			attack			use potion			target ranged			target damaged			attack			use potion
Target damaged - Glabrezu (118)	target ranged			target closest			cast fireball		'Dispel Magic' domain_special 5	target self			cast single		'Mirror Image' domain_special 2	clear target			target ranged			target closest			cast fireball		'Confusion' domain_special 4	target low ac			cast single		'Glabrezu Summon Quasits (INTERNAL)' domain_special 1	target damaged			cast single		'Hold Monster' domain_special 5	coup de grace			target damaged			attack			target closest			target damaged			cast single		'Chaos Hammer' domain_special 5	use potion			target damaged			attack			
Placeholder (119)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (120)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (121)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (122)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (123)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (124)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (125)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (126)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (127)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
Placeholder (128)	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	clear target			target ranged			target bad will			cast single		'Command' class_cleric 1	cast area		'Bane' class_cleric 1	clear target			target closest			use potion			coup de grace			attack												
