sp-Wall of Fire	Fire base	0	Point	perm	40		Object YPR		Cartesian	Cartesian	Sprite	World	Cartesian	Cartesian	fire-sprite	90	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	-56?0	0	0	0	0	0	0	0	0	15?20	0	0	0	0	1	0	-20?0	2?15	1	1	0?360	0	0	0,80,60,80,60,40,20,0	255,60,60,60,60	128,64,0,0,0	255	0	-23	-95	25	16	20
sp-Wall of Fire	Main Fire	0	Point	perm	90		Object YPR		Cartesian	Cartesian	Sprite	World	Cartesian	Cartesian	flare-big	80	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	-50?0	0	0	0	0	0	0	0	-5?5	-10?80	0	0	20?40	0	0	-10?10	-20?20	5?25	0	1	0?360	0	0?360	50,80,130,130,100,40,20,0	255(2),60(3),60	64(2),64(3),0	132(2),130(3),255	0	-23	-95	25	16	20
sp-Wall of Fire	start up flame	0	Point	0	30		Object YPR		Cartesian	Cartesian	Sprite	World	Cartesian	Cartesian	fire-sprite	40	Blend	0				0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	40?60	0	10	70?200	-10?0	1	-10?30	-56?0	25,35(55)	0	0	0?360	0?360	0	255,0	255,60,60,60,60	128,64,0,0,0	255,255,255,255,255	0	-399	-299	399	299	0
sp-Wall of Fire	Wicks	0	Point	perm	6		Object YPR		Cartesian	Cartesian	Sprite	World	Cartesian	Cartesian	flare-big	60	Add	0				0	0	0	0	0	0	-20?20	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	-200?200	0	0	-150?150	100?150	0	-5?5	0?100	-42?0	9	0	1	0?360	0	0	50,80,80,80,40,40,20,0	255(2),60(3),60	64(2),64(3),0	132(2),130(3),255	0	-23	-95	25	16	20
sp-Wall of Fire3	Fire base	0	Point	perm	40		Object YPR		Cartesian	Cartesian	Sprite	World	Cartesian	Cartesian	fire-sprite	90	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0?56	0	0	0	0	0	0	0	0	15?20	0	0	0	0	1	0	0?20	2?15	1	1	0?360	0	0	0,80,60,80,60,40,20,0	255,60,60,60,60	128,64,0,0,0	255	0	-23	-95	25	16	20
sp-Wall of Fire3	Main Fire	0	Point	perm	90		Object YPR		Cartesian	Cartesian	Sprite	World	Cartesian	Cartesian	flare-big	80	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0?50	0	0	0	0	0	0	0	-5?5	-10?80	0	0	20?40	0	0	-10?10	-20?20	5?25	0	1	0?360	0	0?360	50,80,130,130,100,40,20,0	255(2),60(3),60	64(2),64(3),0	132(2),130(3),255	0	-23	-95	25	16	20
sp-Wall of Fire3	start up flame	0	Point	0	30		Object YPR		Cartesian	Cartesian	Sprite	World	Cartesian	Cartesian	fire-sprite	40	Blend	0				0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40?60	0	10	70?200	0?10	1	-10?30	0?56	25,35(55)	0	0	0?360	0?360	0	255,0	255,60,60,60,60	128,64,0,0,0	255,255,255,255,255	0	-399	-299	399	299	0
sp-Wall of Fire3	Wicks	0	Point	perm	66		Object YPR		Cartesian	Cartesian	Sprite	World	Cartesian	Cartesian	flare-big	60	Add	0				0	0	0	0	0	0	-20?20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-200?200	0	0	-100?150	100?150	0	-5?5	0?100	0?42	9	0	1	0?360	0	0	50,80,80,80,40,40,20,0	255(2),60(3),60	64(2),64(3),0	132(2),130(3),255	0	-23	-95	25	16	20
sp-Wall of Fire2	Fire base	0	Point	perm	40		Object YPR		Cartesian	Cartesian	Sprite	World	Cartesian	Cartesian	fire-sprite	90	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0?56	0	0	0	0	0	0	0	0	0	0	15?20	0	0	0	0	0	0	0?20	2?15	0	1	0?360	0	0	0,80,60,80,60,40,20,0	255,60,60,60,60	128,64,0,0,0	255	0	-23	-95	25	16	20
sp-Wall of Fire2	Main Fire	0	Point	perm	90		Object YPR		Cartesian	Cartesian	Sprite	World	Cartesian	Cartesian	flare-big	80	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0?50	0	0	0	0	0	0	0	0	0	0	-10?80	-5?5	0	20?40	0	-20?20	-10?10	0	5?25	0	1	0?360	0	0	50,80,130,130,100,40,20,0	255(2),60(3),60	64(2),64(3),0	132(2),130(3),255	0	-23	-95	25	16	20
sp-Wall of Fire2	start up flame	0	Point	0	30		Object YPR		Cartesian	Cartesian	Sprite	World	Cartesian	Cartesian	fire-sprite	40	Blend	0				0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40?60	0	0?10	70?200	10	0?56	0	1	25,35(55)	0	0	0?360	0?360	0	255,0	255,60,60,60,60	128,64,0,0,0	255,255,255,255,255	0	-399	-299	399	299	0
sp-Wall of Fire2	Wicks	0	Point	perm	6		Object YPR		Cartesian	Cartesian	Sprite	World	Cartesian	Cartesian	flare-big	60	Add	0				0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-200?50	0	100?150	100?150	0?42	0?100	-5?5	9	0	1	0?360	0	0	50,80,80,80,40,40,20,0	255(2),60(3),60	64(2),64(3),0	132(2),130(3),255	0	-23	-95	25	16	20
